world_rank,university_name,teaching,international,research,citations,industry_income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
303,University #303,49.8,82.8,50.9,54.1,80.6,54.1,10808,15.4,34%,44 : 61
304,University #304,51.5,63.5,55.5,34.2,51.7,52.1,30667,13.8,32%,43 : 42
305,University #305,44.6,65.3,37.1,54.1,69.2,54.9,3275,20.7,46%,49 : 54
306,University #306,56.0,16.3,48.5,65.1,61.7,54.0,27896,16.1,37%,48 : 48
307,University #307,56.3,54.5,51.8,62.7,49.0,52.7,18027,10.9,15%,42 : 45
308,University #308,48.9,12.9,37.4,58.3,47.0,51.9,27544,15.6,35%,53 : 25
309,University #309,52.0,51.6,56.9,50.7,80.3,53.4,100000,6.7,24%,49 : 20
310,University #310,45.7,52.5,53.2,63.4,59.9,56.0,40528,10.0,19%,54 : 42
311,University #311,49.6,61.3,39.7,46.8,70.8,51.4,18583,10.6,1%,22 : 51
312,University #312,50.6,68.4,50.2,51.3,27.9,50.0,55579,16.0,53%,44 : 44
313,University #313,56.6,27.7,53.6,36.1,48.9,54.0,29725,12.8,45%,46 : 61
314,University #314,47.4,72.8,57.0,49.1,72.4,53.7,9227,6.6,42%,37 : 59
315,University #315,44.1,34.7,48.9,44.7,38.2,50.2,8313,31.2,24%,59 : 53
316,University #316,56.7,30.1,37.4,48.3,60.5,51.0,9777,22.2,59%,46 : 46
317,University #317,55.3,12.2,60.8,48.0,48.1,53.1,44648,6.0,2%,40 : 46
318,University #318,53.1,5.0,42.8,49.9,55.3,52.3,12618,17.1,11%,59 : 56
319,University #319,55.9,44.3,51.1,54.1,66.6,55.5,14256,23.1,1%,20 : 32
320,University #320,46.4,19.2,40.7,53.7,52.5,50.6,5137,11.3,24%,40 : 65
321,University #321,49.2,81.8,65.6,41.3,37.9,51.7,6320,7.9,28%,49 : 55
322,University #322,49.7,32.2,56.6,46.9,26.9,54.4,59477,12.7,53%,60 : 39
323,University #323,51.4,71.5,50.9,43.2,81.3,54.1,53192,11.5,7%,71 : 64
324,University #324,62.7,38.7,42.0,52.6,60.0,51.6,10354,17.9,34%,39 : 52
325,University #325,48.5,21.8,54.4,54.4,67.0,54.3,2629,15.5,24%,39 : 56
326,University #326,45.2,40.3,56.5,56.4,39.4,53.9,27409,17.3,15%,53 : 35
327,University #327,58.1,75.2,47.2,40.6,62.4,51.6,23350,13.9,7%,59 : 54
328,University #328,51.4,37.9,38.9,40.7,45.4,51.2,3329,8.8,36%,43 : 45
329,University #329,47.5,21.0,49.6,49.3,48.6,54.7,16266,27.4,19%,55 : 42
330,University #330,44.3,29.1,61.2,40.4,33.2,51.1,5157,10.7,31%,65 : 67
331,University #331,54.2,5.0,52.6,58.6,60.1,51.1,10134,28.5,31%,41 : 47
332,University #332,47.0,15.4,54.9,50.1,54.4,48.4,8009,17.6,6%,62 : 57
333,University #333,52.6,43.2,53.4,48.7,52.3,52.1,61711,12.3,49%,49 : 53
334,University #334,57.4,11.5,50.8,70.7,60.7,52.6,16537,22.0,39%,52 : 42
335,University #335,52.3,43.9,51.4,41.6,42.4,49.5,75224,8.5,31%,50 : 63
336,University #336,44.2,57.6,44.0,50.1,28.2,49.2,4923,13.3,25%,42 : 63
337,University #337,46.5,58.8,51.3,54.5,35.2,53.0,60321,8.8,39%,51 : 50
338,University #338,52.3,48.2,33.2,42.6,70.8,49.9,11382,16.4,28%,46 : 22
339,University #339,49.7,15.6,50.9,46.4,76.5,52.8,3637,19.7,6%,49 : 40
340,University #340,50.9,75.3,51.5,34.3,41.6,52.0,15017,7.9,30%,41 : 55
341,University #341,50.5,49.9,56.2,53.2,43.5,50.2,7504,18.5,1%,62 : 47
342,University #342,46.4,36.3,53.8,42.3,76.6,50.2,25039,22.6,20%,43 : 57
343,University #343,50.5,56.1,53.9,42.6,44.9,51.4,16460,12.4,25%,57 : 47
344,University #344,46.8,40.8,53.5,43.5,47.3,51.9,10635,21.0,27%,47 : 47
345,University #345,44.2,75.2,31.9,58.3,53.0,48.5,18643,35.0,50%,53 : 40
346,University #346,47.2,56.0,45.3,40.8,74.8,48.4,5602,11.0,50%,66 : 52
347,University #347,45.9,49.7,45.0,45.6,52.8,44.8,1248,19.2,21%,50 : 46
348,University #348,54.3,48.1,50.3,33.4,68.3,47.3,1282,15.2,1%,52 : 59
349,University #349,52.8,33.6,50.1,59.4,16.7,48.4,70874,7.4,1%,59 : 51
350,University #350,50.7,81.3,49.0,52.2,60.3,50.3,12998,13.6,25%,47 : 65
351,University #351,51.9,70.9,52.2,63.0,55.3,47.6,19021,9.8,16%,51 : 67
352,University #352,43.9,33.9,45.6,40.4,18.8,47.4,26908,17.3,26%,50 : 35
353,University #353,48.4,45.0,58.3,34.1,60.1,50.5,9712,24.2,42%,66 : 33
354,University #354,41.0,32.6,36.0,35.8,34.6,45.0,19043,8.5,32%,54 : 55
355,University #355,57.4,45.4,44.9,51.3,98.2,50.5,7047,8.9,30%,39 : 45
356,University #356,45.7,75.6,47.5,45.8,41.3,49.2,10806,10.9,29%,55 : 47
357,University #357,42.3,91.5,53.6,33.3,48.5,49.3,35476,5.0,1%,42 : 60
358,University #358,44.6,12.9,58.6,45.3,72.0,50.6,11221,28.6,38%,44 : 74
359,University #359,47.0,18.6,43.1,47.3,35.6,50.7,17259,25.4,22%,46 : 48
360,University #360,47.9,61.0,55.6,46.1,59.3,50.6,11856,8.9,30%,62 : 52
361,University #361,53.1,37.3,51.0,59.9,54.3,46.3,8177,7.8,38%,52 : 55
362,University #362,46.4,49.2,46.6,45.6,85.0,49.9,52045,10.3,38%,42 : 60
363,University #363,40.7,19.9,61.3,62.1,52.0,50.4,46724,14.4,3%,36 : 51
364,University #364,47.5,43.2,48.8,44.4,46.3,48.2,3057,10.2,22%,52 : 33
365,University #365,47.5,5.0,39.8,41.3,10.0,48.6,10681,9.0,28%,59 : 45
366,University #366,43.9,30.6,51.1,55.2,49.3,49.2,3647,5.6,20%,56 : 37
367,University #367,41.7,5.0,54.3,38.0,35.1,49.7,3954,11.4,31%,30 : 42
368,University #368,53.1,65.2,49.9,64.8,82.9,48.4,30343,23.7,30%,55 : 64
369,University #369,39.5,42.0,32.3,40.0,35.6,48.6,8076,12.9,23%,44 : 37
370,University #370,52.3,53.9,46.7,52.8,67.7,48.9,35002,8.4,47%,37 : 34
371,University #371,53.7,49.9,50.9,63.0,68.7,49.0,15614,19.8,26%,58 : 60
372,University #372,55.6,51.8,42.2,54.3,56.8,52.2,53173,12.4,13%,52 : 55
373,University #373,46.1,85.0,40.6,57.1,45.4,48.8,20416,31.7,13%,71 : 58
374,University #374,47.3,11.9,40.4,61.3,60.2,47.7,37196,14.2,30%,49 : 57
375,University #375,49.2,15.1,48.3,50.5,57.5,49.5,3151,11.5,11%,60 : 46
376,University #376,42.5,33.7,55.2,53.9,81.5,46.0,35796,14.9,47%,44 : 41
377,University #377,42.5,36.7,37.2,48.1,37.4,48.1,9945,11.4,23%,60 : 54
378,University #378,48.5,38.7,37.8,54.1,60.6,46.0,3495,9.7,32%,36 : 63
379,University #379,42.6,47.6,39.2,38.4,58.0,48.4,19788,7.1,21%,49 : 45
380,University #380,45.5,16.4,39.6,35.8,31.7,49.1,10429,13.6,18%,55 : 44
381,University #381,43.5,75.9,38.6,46.9,60.3,43.8,10641,7.3,47%,44 : 56
382,University #382,43.7,61.8,41.8,29.3,46.9,46.0,9337,6.8,1%,39 : 46
383,University #383,52.6,14.5,46.8,56.2,46.7,50.2,6622,8.3,16%,49 : 38
384,University #384,47.3,41.3,46.8,52.9,36.7,48.0,8843,7.6,41%,38 : 60
385,University #385,40.4,74.8,44.9,37.8,29.4,44.2,9570,8.3,1%,38 : 53
386,University #386,43.2,59.6,39.9,47.4,67.2,47.4,16754,28.8,40%,36 : 47
387,University #387,40.3,10.2,52.8,39.3,41.8,49.6,55607,5.1,26%,72 : 37
388,University #388,41.4,67.9,32.7,40.6,10.0,46.5,28498,14.8,48%,58 : 58
389,University #389,47.6,42.2,31.4,44.2,43.3,46.0,8182,12.9,4%,51 : 42
390,University #390,49.9,33.9,36.8,42.3,56.6,45.5,13090,8.0,15%,40 : 40
391,University #391,41.0,51.9,49.0,61.1,40.4,46.2,8318,9.7,33%,54 : 42
392,University #392,42.0,47.1,46.4,56.4,48.4,46.0,12754,24.4,49%,78 : 41
393,University #393,46.4,49.5,38.1,41.7,49.1,44.4,47745,17.3,18%,45 : 52
394,University #394,40.0,19.4,43.5,44.5,26.2,44.4,8793,25.3,27%,45 : 54
395,University #395,45.9,68.0,37.4,40.0,39.5,43.3,17529,6.4,30%,56 : 45
396,University #396,51.2,29.0,34.8,43.2,21.8,45.9,21006,11.5,53%,40 : 46
397,University #397,48.7,26.0,42.9,50.4,51.0,41.3,2200,24.4,25%,42 : 57
398,University #398,37.8,51.9,40.7,48.8,44.5,42.1,8515,18.1,18%,53 : 36
399,University #399,46.2,57.6,39.3,51.2,41.0,43.4,36283,9.8,33%,48 : 32
400,University #400,36.2,61.1,49.6,48.4,63.5,45.4,14494,14.5,16%,48 : 60
401,University #401,39.9,56.0,50.6,27.7,66.6,46.0,23166,12.6,2%,54 : 57
402,University #402,42.4,35.9,37.6,41.7,55.4,44.0,3807,5.7,27%,35 : 41
403,University #403,41.7,29.5,59.1,44.6,47.3,46.4,6083,9.9,1%,60 : 60
404,University #404,40.2,24.4,41.6,59.3,87.4,46.0,15545,5.4,7%,47 : 41
405,University #405,47.7,5.0,50.4,50.2,63.4,44.6,8029,13.5,21%,41 : 34
406,University #406,43.0,75.9,46.3,30.3,48.3,42.9,51970,25.6,23%,44 : 47
407,University #407,40.7,5.0,35.1,51.7,60.2,46.7,68315,14.5,19%,76 : 31
408,University #408,46.2,59.3,38.9,38.9,38.9,41.9,4089,9.6,5%,42 : 42
409,University #409,39.8,33.7,40.1,38.3,57.2,43.9,66736,18.1,23%,45 : 61
410,University #410,43.0,54.1,51.4,48.7,41.5,43.8,14796,10.7,22%,68 : 51
411,University #411,39.4,39.4,38.9,52.0,80.9,45.6,61928,18.0,13%,60 : 45
412,University #412,40.5,30.8,48.6,44.9,49.1,45.1,21453,11.4,52%,48 : 59
413,University #413,32.6,18.4,49.3,28.0,39.3,42.2,3469,5.0,61%,51 : 55
414,University #414,42.1,52.0,40.6,27.4,71.9,41.8,2954,20.5,52%,55 : 51
415,University #415,35.9,39.2,40.3,41.1,71.7,44.0,4328,15.4,7%,38 : 63
416,University #416,37.0,35.8,50.4,49.5,47.4,45.9,61674,15.3,17%,74 : 48
417,University #417,45.8,27.7,34.0,34.4,96.4,44.5,4195,12.4,51%,67 : 65
418,University #418,33.3,29.4,37.6,35.8,54.5,39.9,6057,18.1,18%,67 : 38
419,University #419,39.6,75.1,45.8,52.8,40.4,43.3,3250,8.6,29%,36 : 28
420,University #420,35.4,18.3,39.2,43.4,28.7,41.2,5959,7.7,62%,58 : 46
421,University #421,32.2,22.8,40.0,38.7,47.9,42.5,24032,13.8,8%,50 : 41
422,University #422,36.3,24.4,38.2,24.1,75.2,43.2,5839,6.8,38%,53 : 44
423,University #423,47.9,30.0,32.2,45.9,69.9,42.6,14958,16.9,25%,50 : 44
424,University #424,33.2,40.3,43.7,46.9,55.6,40.6,8285,8.6,11%,71 : 51
425,University #425,39.7,46.9,44.3,56.0,37.8,44.3,31415,7.7,54%,35 : 58
426,University #426,46.4,34.3,53.7,47.5,67.7,45.3,11210,10.6,10%,44 : 39
427,University #427,39.9,17.1,42.5,45.8,59.1,41.4,49023,12.7,29%,43 : 62
428,University #428,38.4,66.2,34.6,36.6,68.3,41.3,15451,12.8,59%,55 : 27
429,University #429,39.9,44.0,48.7,31.1,48.2,43.6,21268,8.6,23%,49 : 72
430,University #430,35.8,18.2,40.1,27.7,16.2,42.7,26803,10.3,42%,58 : 36
431,University #431,45.6,55.1,50.1,46.4,50.0,44.1,14622,7.0,31%,38 : 43
432,University #432,44.8,87.6,42.6,39.7,51.1,42.6,9161,5.8,19%,43 : 41
433,University #433,43.9,26.6,49.2,34.7,55.3,44.9,13455,19.1,14%,60 : 44
434,University #434,40.9,45.4,36.8,36.1,54.1,43.6,54515,10.7,32%,44 : 54
435,University #435,37.7,55.6,43.5,44.9,75.3,40.5,25606,14.3,11%,39 : 43
436,University #436,43.7,33.6,49.1,45.4,32.3,44.3,9096,6.2,13%,41 : 30
437,University #437,37.2,48.1,33.9,41.0,60.2,37.5,7478,13.2,32%,60 : 56
438,University #438,41.7,41.9,48.0,39.7,77.0,41.8,37482,14.9,29%,50 : 39
439,University #439,38.8,5.0,34.9,24.0,67.4,39.0,37156,11.1,30%,55 : 44
440,University #440,50.1,32.0,28.2,39.9,51.7,43.9,9043,5.1,14%,66 : 46
441,University #441,49.5,50.7,40.8,33.9,42.2,43.8,30150,11.5,57%,51 : 43
442,University #442,49.6,56.5,37.0,44.7,70.4,42.2,100000,10.6,36%,45 : 52
443,University #443,35.8,5.0,41.2,40.5,54.3,41.4,20283,5.0,24%,49 : 45
444,University #444,45.7,47.7,42.9,45.9,31.9,41.6,5558,10.2,65%,46 : 31
445,University #445,38.6,59.7,48.5,34.9,34.9,39.1,45991,9.1,23%,41 : 54
446,University #446,38.3,44.6,29.1,47.5,49.7,38.0,14329,8.5,30%,45 : 59
447,University #447,39.2,36.5,34.4,46.4,68.7,41.4,25334,12.7,1%,52 : 39
448,University #448,36.5,51.4,41.5,37.4,40.7,41.0,100000,15.9,30%,41 : 46
449,University #449,34.8,80.0,33.4,39.3,61.4,38.0,12672,13.7,5%,57 : 39
450,University #450,38.7,38.5,53.9,37.8,43.8,38.3,7617,7.6,50%,45 : 40
451,University #451,37.5,22.8,46.5,43.9,36.5,41.6,24705,18.9,8%,69 : 63
452,University #452,34.5,75.3,37.9,24.8,70.7,34.4,9714,21.7,20%,55 : 38
453,University #453,40.9,8.2,34.7,35.1,10.0,41.1,23664,15.8,28%,57 : 46
454,University #454,48.2,50.5,45.1,41.8,12.1,46.4,4047,5.2,29%,64 : 53
455,University #455,45.9,59.2,35.7,37.7,34.4,41.6,6711,7.6,28%,56 : 61
456,University #456,32.7,34.9,46.5,36.7,63.7,41.6,21828,5.2,59%,71 : 34
457,University #457,38.6,12.5,42.9,39.3,39.4,40.3,13485,13.6,40%,49 : 36
458,University #458,36.7,40.1,45.6,55.2,37.3,41.0,78446,8.0,20%,46 : 35
459,University #459,45.1,49.4,35.6,44.9,32.0,42.7,8464,13.5,12%,50 : 47
460,University #460,40.0,80.6,34.2,30.1,45.2,37.0,5845,14.5,24%,57 : 60
461,University #461,35.8,13.6,49.0,31.0,77.8,37.4,100000,23.1,31%,37 : 56
462,University #462,37.6,35.7,29.4,45.1,60.3,37.8,17257,10.0,7%,55 : 20
463,University #463,42.2,53.8,46.3,39.2,60.9,44.4,6302,15.6,20%,55 : 62
464,University #464,34.5,64.0,42.8,35.0,51.9,42.1,7210,29.7,18%,43 : 59
465,University #465,38.9,44.9,37.1,33.7,15.9,38.8,6405,21.9,21%,41 : 50
466,University #466,38.4,29.2,30.6,39.7,41.5,40.2,22228,19.5,3%,59 : 42
467,University #467,44.0,5.0,40.6,52.9,10.0,40.2,13305,26.8,27%,51 : 55
468,University #468,42.4,44.7,36.9,40.6,10.0,39.3,18365,8.7,45%,46 : 43
469,University #469,49.0,30.7,39.3,36.5,56.5,40.7,8553,10.0,18%,68 : 38
470,University #470,41.0,25.5,41.5,47.9,47.7,42.1,15859,10.3,18%,60 : 64
471,University #471,36.5,76.1,38.7,42.5,25.4,39.3,9778,15.7,42%,51 : 50
472,University #472,44.8,52.7,35.3,38.9,44.7,38.0,2165,6.9,31%,45 : 51
473,University #473,39.7,13.1,45.4,36.8,17.7,36.1,11880,22.9,19%,58 : 46
474,University #474,34.6,70.1,32.6,36.5,67.9,36.4,17341,30.0,19%,41 : 57
475,University #475,41.5,49.1,30.5,39.3,53.6,37.9,4740,23.2,4%,51 : 27
476,University #476,42.4,5.3,38.6,39.8,47.7,38.1,24806,8.7,40%,49 : 64
477,University #477,42.8,5.0,34.4,48.0,10.0,38.5,24213,7.8,2%,47 : 45
478,University #478,29.8,69.4,33.6,37.4,81.6,36.3,13791,6.4,24%,53 : 55
479,University #479,36.4,5.0,42.8,40.6,44.4,37.6,11485,6.6,14%,56 : 34
480,University #480,36.0,76.4,35.4,40.9,62.4,37.8,10866,14.1,47%,50 : 47
481,University #481,36.0,100.0,30.9,29.6,94.9,35.7,6941,8.5,40%,37 : 55
482,University #482,38.0,93.2,37.6,36.7,28.4,36.5,7292,15.8,30%,44 : 59
483,University #483,38.3,46.5,38.6,46.3,48.7,40.4,4834,15.1,32%,48 : 43
484,University #484,41.6,59.7,36.8,27.6,72.5,37.1,31284,8.0,32%,43 : 51
485,University #485,29.8,51.9,36.5,39.8,56.2,34.3,8525,12.1,14%,62 : 52
486,University #486,31.2,46.5,35.1,27.0,70.9,36.5,18007,16.7,31%,50 : 37
487,University #487,33.4,29.7,36.5,26.0,13.2,35.8,17948,5.3,41%,57 : 47
488,University #488,39.7,46.2,38.6,39.0,40.2,36.2,9246,9.5,32%,33 : 45
489,University #489,33.8,57.8,32.9,35.5,100.0,35.5,3371,10.9,18%,35 : 54
490,University #490,41.2,32.4,35.8,33.1,67.9,37.2,533,15.4,6%,49 : 44
491,University #491,26.7,83.0,32.2,29.6,24.2,34.1,49945,14.0,46%,40 : 55
492,University #492,39.8,69.6,29.9,26.9,59.9,40.8,9655,16.0,43%,72 : 42
493,University #493,33.1,59.3,28.2,32.7,18.8,34.3,35080,28.4,22%,43 : 55
494,University #494,37.1,8.2,30.2,35.0,80.8,36.1,16387,30.8,56%,52 : 39
495,University #495,35.1,56.7,39.0,28.6,39.8,38.0,3955,7.2,32%,45 : 49
496,University #496,40.5,15.0,33.4,25.9,10.8,36.1,17544,6.6,27%,55 : 43
497,University #497,30.7,59.2,20.6,30.8,52.1,34.3,14152,20.3,22%,44 : 31
498,University #498,39.6,59.0,42.5,38.6,59.7,36.3,14173,9.0,30%,57 : 44
499,University #499,34.1,34.5,35.7,27.1,54.4,35.0,5768,42.3,1%,42 : 65
500,University #500,38.5,69.4,32.5,31.9,74.0,34.3,19301,7.1,28%,51 : 52
501,University #501,39.6,39.3,39.1,30.5,54.3,37.2,62870,11.1,19%,53 : 31
502,University #502,32.3,73.1,38.8,37.8,10.0,35.7,2509,9.6,2%,48 : 58
503,University #503,26.9,74.3,33.9,20.7,44.3,31.5,25437,13.2,22%,59 : 48
504,University #504,39.5,48.1,34.1,31.7,37.8,36.5,5909,34.2,17%,35 : 59
505,University #505,33.5,21.0,32.9,35.6,46.7,33.1,6243,8.3,24%,31 : 46
506,University #506,39.0,30.3,41.8,38.0,43.7,37.2,17633,43.8,11%,46 : 49
507,University #507,23.0,38.5,30.3,29.4,55.7,30.8,4094,11.9,35%,48 : 41
508,University #508,39.1,30.6,33.2,49.2,75.8,38.1,5549,7.6,39%,53 : 57
509,University #509,32.0,50.4,33.6,32.1,55.2,33.8,5045,6.9,30%,51 : 56
510,University #510,39.2,56.2,32.3,21.7,57.3,36.5,13455,11.5,36%,45 : 65
511,University #511,39.4,24.5,40.1,33.0,70.7,40.3,16972,6.9,33%,56 : 46
512,University #512,32.8,19.6,37.6,30.7,22.5,33.4,20410,28.8,53%,57 : 56
513,University #513,34.5,55.7,36.0,37.6,36.6,35.9,4111,5.3,1%,28 : 57
514,University #514,29.6,20.2,32.6,24.5,29.9,34.9,8522,5.3,21%,40 : 51
515,University #515,35.0,46.4,33.5,39.7,60.5,38.4,14869,9.0,20%,55 : 60
516,University #516,38.9,56.0,35.5,40.1,30.9,37.8,21385,14.6,40%,47 : 66
517,University #517,29.6,52.8,36.6,37.5,53.6,37.0,6292,14.4,5%,42 : 39
518,University #518,40.1,35.4,37.1,42.2,64.6,38.1,15024,9.1,46%,59 : 52
519,University #519,37.1,46.2,31.8,29.1,85.6,35.6,15355,7.8,2%,52 : 40
520,University #520,35.8,56.7,25.7,30.7,94.5,34.5,8990,12.9,24%,61 : 39
521,University #521,29.2,30.6,26.7,24.5,63.4,34.3,1222,11.7,26%,46 : 40
522,University #522,34.1,55.7,41.2,43.5,32.5,35.3,13361,18.1,1%,37 : 40
523,University #523,41.7,8.7,29.6,34.7,72.5,36.3,18308,9.3,35%,48 : 32
524,University #524,31.4,45.7,33.8,35.5,65.4,36.2,23073,8.9,19%,44 : 32
525,University #525,37.8,5.0,32.0,26.5,25.3,32.5,4899,8.8,13%,62 : 47
526,University #526,41.3,14.9,44.0,44.2,11.5,39.0,25980,14.9,36%,33 : 45
527,University #527,37.4,99.0,21.7,36.2,58.5,34.6,16079,18.4,23%,58 : 36
528,University #528,28.3,57.2,26.1,33.4,68.3,32.8,30998,18.2,17%,52 : 67
529,University #529,36.0,35.3,39.9,29.4,64.7,34.5,10760,7.7,66%,59 : 32
530,University #530,30.3,47.9,28.0,33.9,76.0,33.8,12653,22.6,19%,55 : 60
531,University #531,39.5,51.5,27.8,34.2,42.6,35.8,47948,17.8,30%,45 : 66
532,University #532,33.6,41.8,50.6,39.6,49.6,34.7,24851,5.6,13%,55 : 46
533,University #533,26.9,54.5,25.3,27.8,83.5,31.1,19654,9.1,19%,58 : 36
534,University #534,34.6,28.2,47.3,44.7,36.1,38.5,8377,21.2,51%,72 : 57
535,University #535,36.6,71.1,31.5,39.3,12.7,33.2,7290,24.4,12%,40 : 39
536,University #536,36.7,31.6,22.7,32.4,42.0,32.9,5085,14.6,29%,53 : 66
537,University #537,36.3,31.8,33.1,39.5,49.3,36.9,40742,15.9,27%,49 : 43
538,University #538,36.2,24.6,39.8,38.7,68.0,36.7,21272,12.0,18%,42 : 41
539,University #539,35.8,29.1,32.3,34.7,53.1,32.8,5310,24.6,23%,59 : 37
540,University #540,30.9,35.1,32.7,31.5,36.4,32.1,11393,15.4,40%,48 : 37
541,University #541,39.7,74.0,33.7,39.9,29.5,36.5,7308,5.0,28%,48 : 25
542,University #542,33.8,48.1,33.2,29.8,46.7,32.2,22517,16.0,32%,44 : 37
543,University #543,26.8,83.0,34.3,29.1,70.2,33.2,5248,7.2,30%,56 : 49
544,University #544,36.9,26.5,36.4,36.5,55.7,35.3,55988,7.4,12%,64 : 39
545,University #545,31.8,45.7,40.0,35.1,72.1,33.1,33640,24.5,47%,60 : 38
546,University #546,30.8,34.8,34.1,30.8,51.1,34.8,14428,20.9,23%,58 : 40
547,University #547,32.5,58.7,30.3,26.3,38.0,33.1,4971,16.9,9%,52 : 44
548,University #548,26.1,31.2,35.2,35.5,45.5,33.2,12982,11.1,30%,38 : 41
549,University #549,28.1,38.9,22.7,36.9,68.6,35.8,100000,5.3,46%,50 : 44
550,University #550,30.3,55.8,42.3,27.3,63.3,31.8,6475,27.6,30%,53 : 56
551,University #551,25.6,67.3,32.7,30.6,74.4,30.7,18398,8.0,27%,56 : 51
552,University #552,40.8,22.3,40.0,33.2,35.1,35.3,20099,18.9,25%,59 : 78
553,University #553,33.4,47.5,32.7,41.7,13.6,37.0,34959,14.0,9%,49 : 55
554,University #554,35.4,27.9,35.4,36.6,37.6,32.6,1329,10.2,23%,60 : 48
555,University #555,30.1,100.0,37.3,18.8,60.5,32.8,41393,11.7,36%,53 : 57
556,University #556,29.8,56.3,30.6,25.4,38.3,29.8,16230,5.0,34%,40 : 63
557,University #557,31.6,17.9,34.7,34.8,98.4,32.9,22160,10.8,31%,49 : 60
558,University #558,38.7,44.8,38.6,36.2,10.0,34.2,5595,13.7,12%,44 : 51
559,University #559,34.9,62.1,29.6,24.6,39.6,32.5,9618,10.7,64%,46 : 40
560,University #560,19.0,95.2,33.0,15.6,49.9,30.2,100000,18.6,5%,32 : 41
561,University #561,35.0,82.5,30.5,33.6,62.7,33.0,15818,22.3,23%,34 : 43
562,University #562,37.8,40.2,31.7,33.9,70.1,34.4,35058,5.0,33%,43 : 49
563,University #563,25.7,52.3,22.5,18.9,41.2,28.4,14673,24.5,17%,44 : 64
564,University #564,37.8,72.1,40.0,25.5,51.4,33.1,9111,9.4,39%,60 : 57
565,University #565,36.4,30.4,36.8,36.7,68.2,30.7,26409,7.6,25%,50 : 45
566,University #566,29.7,5.0,25.0,25.6,28.0,32.3,21462,5.3,20%,33 : 49
567,University #567,33.1,73.2,29.5,20.6,42.0,32.0,7403,21.2,25%,36 : 57
568,University #568,22.7,30.4,32.4,26.1,61.5,32.0,53307,11.1,48%,71 : 69
569,University #569,34.4,30.8,30.8,36.6,40.1,33.1,11229,10.0,27%,77 : 53
570,University #570,34.7,42.7,35.3,25.6,10.0,32.0,2889,7.2,9%,67 : 48
571,University #571,29.0,19.0,28.6,26.8,54.1,32.3,14867,15.6,26%,55 : 47
572,University #572,29.9,52.7,29.8,27.2,59.1,31.2,15432,9.7,1%,57 : 46
573,University #573,30.7,67.0,26.6,40.6,69.2,31.0,28855,8.7,30%,48 : 60
574,University #574,37.5,73.1,35.1,22.0,30.6,33.3,14494,5.5,7%,30 : 72
575,University #575,34.9,45.0,37.4,28.9,43.7,34.3,17585,7.0,14%,42 : 56
576,University #576,33.0,52.0,42.4,33.9,19.7,32.7,26448,13.5,47%,38 : 58
577,University #577,22.6,51.4,28.0,38.8,44.1,33.1,27702,6.2,13%,52 : 57
578,University #578,31.0,50.3,32.8,29.0,62.4,33.4,16757,10.1,20%,67 : 42
579,University #579,30.0,34.3,17.1,15.7,59.1,28.2,8054,16.8,15%,45 : 42
580,University #580,24.3,64.3,30.4,34.5,63.0,27.0,11859,13.6,33%,72 : 72
581,University #581,24.1,24.4,32.9,35.4,69.4,30.6,4188,5.9,8%,55 : 62
582,University #582,26.4,16.9,31.2,24.3,50.1,30.1,1257,5.9,22%,31 : 54
583,University #583,31.0,5.0,36.6,33.0,55.4,33.0,7328,7.1,30%,33 : 26
584,University #584,37.0,43.9,30.3,36.1,33.3,32.2,7997,25.4,35%,33 : 68
585,University #585,25.9,23.2,17.7,31.6,15.6,30.9,9220,5.0,12%,62 : 47
586,University #586,33.0,22.3,31.8,25.1,67.6,33.9,9338,9.2,26%,58 : 49
587,University #587,33.1,70.6,31.1,29.2,62.5,31.6,6469,21.3,12%,45 : 55
588,University #588,21.4,70.3,31.1,30.0,42.4,30.3,26211,24.2,34%,51 : 47
589,University #589,28.5,39.6,37.6,39.8,50.2,32.3,6332,5.3,27%,74 : 44
590,University #590,25.8,35.4,21.5,28.5,17.4,25.8,51826,7.9,32%,39 : 40
591,University #591,22.1,5.0,19.1,24.6,62.0,28.9,15091,14.9,33%,63 : 68
592,University #592,28.7,52.7,22.5,32.4,63.7,28.6,11659,35.4,42%,40 : 51
593,University #593,26.4,14.5,37.3,30.5,38.1,31.5,6988,32.2,30%,40 : 55
594,University #594,26.8,67.0,31.1,36.1,25.0,26.8,7208,25.2,57%,60 : 34
595,University #595,34.5,68.7,32.2,27.8,54.5,30.5,6736,19.7,6%,39 : 50
596,University #596,31.1,60.7,25.6,35.0,33.1,29.8,8736,20.5,24%,61 : 42
597,University #597,26.2,5.0,25.4,18.1,42.2,27.1,10607,17.4,44%,41 : 45
598,University #598,26.9,56.3,18.7,16.7,22.4,28.6,6991,11.3,3%,40 : 51
599,University #599,24.1,11.9,16.9,34.8,14.5,31.0,3792,8.8,29%,80 : 42
600,University #600,26.7,51.6,27.3,32.9,65.5,27.5,17078,8.2,30%,55 : 36
601,University #601,26.0,67.0,32.0,27.5,32.9,28.7,11643,16.5,50%,56 : 68
602,University #602,36.7,44.1,29.8,38.1,59.3,30.2,42625,8.3,12%,38 : 51
603,University #603,30.2,93.4,26.8,32.9,29.5,30.2,27586,15.5,57%,63 : 52
604,University #604,27.3,64.8,38.6,36.4,89.6,33.6,5931,6.0,9%,44 : 50
605,University #605,30.0,51.0,23.2,34.1,56.6,27.8,16803,24.8,16%,40 : 52
